Company,title,location,date_posted,link,role description,role responsibilities,role reqs,final fit,yrs exp req,Description,URL,fit,Unnamed: 8,fit reason,role years experience
Wonder Studios,GTM Associate,Los Angeles (Hybrid),"Nov 18, 2025",https://job-boards.eu.greenhouse.io/wonderstudios/jobs/4712586101,"Wonder Studios, an AI-native film and content studio in Los Angeles, is hiring a GTM Associate to grow and manage US agency and brand partnerships for advertising and brand-led work. The hybrid sales-and-execution role spans inbound and outbound business development, pitching and proposal assembly, client management, delivery coordination, and developing GTM playbooks and operations.","['Manage inbound advertising and brand-led briefs: assess fit, gather requirements, and coordinate internal responses across creative and production', 'Support outbound business development with agencies, brands, and creative partners to grow Wonder’s US presence', 'Build and define Wonder’s advertising GTM playbook, tools, and supporting materials', 'Serve as day-to-day client contact, maintain relationships, and ensure clear communication and strong delivery from brief through final delivery', 'Assemble proposals, pitch decks, timelines, creative/production assets, and lead RFP coordination and submission', 'Maintain CRM and pipeline tracking to move opportunities through the funnel', 'Support internal alignment across Creative, Production, and GTM and develop scalable systems, templates, and workflows', 'Represent Wonder at industry events, agency visits, and creative gatherings']","['3-5 years experience in advertising, client management, partnerships, production, or account management within a creative agency, production company, or media-tech environment', 'Client-focused, high-agency, with intellectual curiosity and agility to work in an AI-native studio', 'Strong understanding of brand campaigns, agency workflows, and creative production processes', 'Experience assembling proposals, pitch materials, timelines, and managing RFPs', 'Ability to maintain CRM/pipeline and coordinate cross-functional teams', 'Excellent communication and relationship-management skills; comfortable representing the company externally']",5,3.0,AI-native film studio.,https://www.linkedin.com/company/wearewonderstudios,9.0,,"Strong GTM/ops, pitching, and stakeholder coordination skills but lacks the 3–5 years of agency/creative production and direct ad/client-management experience the role expects.",
Wonder Studios,Head of Growth,London (Hybrid),"Nov 18, 2025",https://job-boards.eu.greenhouse.io/wonderstudios/jobs/4706154101,"Wonder Studios, a next-generation film studio combining cinematic craft with AI, is hiring a Head of Growth (London, hybrid) to own and scale user acquisition for the Wonder Studios App. This senior, hands-on role will build paid acquisition strategies and growth loops (with emphasis on YouTube), work closely with Product, Engineering and Creative teams, and grow into a leadership function.","['Own the end-to-end user acquisition funnel and define KPIs for acquisition, activation, and retention', 'Build and execute paid media and performance marketing (SEO, Meta, Google, etc.) with a focus on efficiency', 'Design and grow a hybrid paid and organic YouTube strategy', 'Implement analytics, attribution and experimentation frameworks (A/B testing) and translate results into action', 'Embed growth loops into the product/UX through close collaboration with Product, Engineering and Creative teams', 'Apply AI/ML domain insight to identify and capitalise on growth opportunities', 'Start as a hands-on operator with a trajectory to hire and lead the Growth function']","['Substantial experience and demonstrable success in a senior Growth or Performance role, ideally scaling a consumer app or platform', 'Strong analytical skills and comfort managing performance metrics, attribution and reporting', 'Hands-on acquisition expertise across channels (paid and organic), including performance marketing', 'Experience with experimentation and optimisation (A/B testing) and turning data into actionable insights', 'Familiarity with the AI/Machine Learning landscape and its application to creative technology', 'Leadership capability to hire, mentor and run a high-performing growth team', 'Ability to collaborate cross-functionally with Product, Engineering and Creative teams']",2,,AI-native film studio.,https://www.linkedin.com/company/wearewonderstudios,5.0,,"Good analytics/A-B testing background but early-career—lacks senior paid-acquisition, consumer app growth, YouTube expertise, and leadership required for Head of Growth.",
Jump,Join the Jump Go-To-Market Talent Pool,Remote (US),"Nov 23, 2024",https://jobs.ashbyhq.com/jump/289e3989-4e69-4a49-8f0e-22450b96733b,"Jump is a remote-first startup building an end-to-end fan engagement platform for sports teams and venues. This posting invites candidates to join a Go-To-Market talent pool for future sales, marketing, and customer success roles, focusing on driving growth and improving fan and team experiences.","[""Join Jump's Go-To-Market talent pool for potential sales, marketing, or customer success roles"", 'Engage with customers to drive growth and build strong relationships', 'Help create exceptional experiences for teams and fans (ticketing, merchandise, game day operations)', 'Collaborate with cross-functional teams in a remote-first environment', 'Continuously learn and become a subject matter expert in Jump’s domain', 'Explore and apply AI technologies to enhance automation and workflows']","['Submit a resume to be considered for the talent pool', 'Eligible to work/located in the USA (applicant location requirement)', 'Remote/telecommute capability', 'Strong desire to learn and curiosity about the domain', 'Tenacity and willingness to tackle hard problems and iterate quickly', 'Passion for solving real problems and high personal standards', 'Empathy and ability to thrive in a diverse, inclusive environment', 'Customer-centric mindset and focus on exceeding customer expectations', 'Interest in innovation and implementing AI to optimize processes']",9,,The unified fan experience platform.,https://www.jump.com/,9.0,,"Strong GTM fit — sports passion and athlete background, customer-facing/venture experience, startup ops and analytical/AI skills align well.",
Sphere,Chief of Staff,San Francisco HQ,"Sep 15, 2025",https://jobs.ashbyhq.com/sphere/85193f8f-abe7-48db-b48b-0420bc84b3a7,"Chief of Staff role at Sphere, an AI-native cross-border tax compliance startup (YC and Felicis-backed). Work directly with the CEO to build and scale operational processes, automate client registration and filing, and support growth of an AI-driven tax engine used by fast-growing tech companies.","['Work directly with the CEO on day-to-day strategic and operational tasks', 'Automate registration and filing operations for Sphere clients', 'Set up revops / sales ops processes to improve business development operations', 'Conduct research into international jurisdictions and cross-border compliance rules', 'Own key operational processes across the business over time', 'Assist CEO with KPI tracking, reporting, and performance monitoring', 'Identify and implement areas of automation across the business']","[""High attention to detail (value: 'Sweating the details')"", 'Comfortable working hard and flexible hours, including late hours/weekends as needed', 'Strong, clear and concise communication skills', 'Ability to multitask and manage time effectively in a fast-paced environment', ""Generalist / 'swiss army knife' mindset able to handle varied operational tasks""]",9,,Global tax compliance platform.,https://www.getsphere.com/,8.0,,"Excellent fit — strong ops/analytics/startup experience, automation and CEO-facing EIR work, generalist mindset; minor gap: no direct tax/compliance domain experience.",
Hook,Operations Associate,London,"Sep 23, 2025",https://jobs.ashbyhq.com/hook/b4141f22-cc85-4ffb-8ab8-5bb31c3758ff,"Hook is a Series A AI/ML startup focused on customer growth and revenue prediction. They are hiring a Business Operations Associate to support and own cross-functional operations projects, improve business efficiency through automation and AI, coordinate events, create leadership-facing content, and assist with office management while reporting to the VP of Operations.","['Own and track strategic operational projects across the company (e.g., dashboards, website redesigns, sales reports, offsite organisation)', 'Support day-to-day operations including onboarding, internal tooling, and compliance to improve business efficiency', 'Coordinate internal events, off-sites and team-building activities to support company culture', 'Create decks and presentation materials for leadership for internal and external/customer-facing use cases', 'Assist with general office management tasks such as ordering supplies and managing vendors']","['Brilliant generalist who can quickly learn and context-switch across business areas', 'Exceptional organisational skills and ability to manage multiple tasks and priorities in a fast-paced environment', 'Proactive problem solver who identifies and addresses issues before they escalate', 'Passionate about AI and actively uses AI tools to improve efficiency', 'Adaptable and calm under shifting priorities', 'High attention to detail', 'Team player with a positive, high-energy attitude']",9,,AI agents to scale CS.,https://hook.co/,8.0,,"Excellent fit — strong AI/data background, cross-functional ops and event experience, dashboard/deck skills and generalist mindset; minor gap in formal onboarding/compliance.",
Plain,Operations Associate,San Francisco office,"Oct 15, 2025",https://jobs.ashbyhq.com/plain/66a258d9-2d25-4947-b9d9-594d3d37df26,"Operations Associate at Plain, a small B2B customer support platform startup (SF & London). Hybrid role based in San Francisco (3 days/week) working closely with the Head of Operations to support cross-functional ops, scale processes, and run projects that improve people, systems, compliance, and revenue operations.","['Partner with Head of Operations and teams across finance, talent, product, and GTM to keep operations running smoothly', 'Support people operations: onboarding/offboarding, maintain company Notion, coordinate offsites and team events', 'Manage internal systems and processes: maintain documentation, standardize data/tools, and support compliance (SOC2, GDPR) by tracking deadlines, collecting vendor docs, and drafting policies', 'Drive strategic projects to improve operations: research tools, improve benefits, and automate workflows for visibility', 'Support revenue operations: monitor self-serve revenue, track invoices, maintain performance dashboards, and work with finance to automate and ensure accuracy']","['1–3 years in business operations or an adjacent role (Founder’s Associate, management consulting, VC) or equivalent startup experience', 'Commercially minded and product-curious; connects operational decisions to customer and business outcomes', 'Process-oriented and efficiency-driven; comfortable building automations and improving templates/workflows (e.g., Notion, Zapier)', 'High ownership, detail-oriented, and able to keep projects on track', 'Clear, fast communicator in written and verbal formats (Notion, Slack, calls)', 'Relentlessly curious and able to learn quickly in new domains', 'Comfortable with a broad generalist role and switching contexts frequently', 'Willingness to work in-person in SF at least 3 days per week and operate in a fast-paced, ambiguous startup environment']",8,1.0,Collaborative B2B support platform.,https://www.plain.com/,8.0,,"Strong generalist ops fit—data/automation, Notion, startup/VC experience and strategy goals align; minor gaps in formal people‑ops/compliance and SF hybrid logistics.",
Ravio,Support & Operations Associate,London,"Oct 13, 2025",https://jobs.ashbyhq.com/ravio/2a5b05ef-c244-4cf8-beb3-24b7c12dfcd1,No job-specific information was included in the posting. The content is website boilerplate and JavaScript loader code with a message that JavaScript must be enabled to view the app.,[],[],8,,Bring confidence to compensation.,https://ravio.com/,7.0,,Generic Support & Operations role maps well to your ops/strategy/tech goals and customer-facing preferences; missing job details lower confidence.,
Aleph,Business Development Representative,Americas,"Jun 5, 2025",https://jobs.ashbyhq.com/aleph/feae83e2-9b6f-4963-b109-fec97e6d5fef,"The provided posting contains only website/frontend loader code and metadata; it does not include any job title, company description, duties, or hiring details.",[],[],8,,FP&A software for finance teams.,https://www.getaleph.com/platform/overview,8.0,,Role (BDR) maps well to candidate’s BD/GTM interests and sourcing/ops experience; posting lacks detail and candidate has limited explicit quota-driven sales experience.,
Sequence,Revenue Associate,NYC / London,"Oct 17, 2025",https://jobs.ashbyhq.com/sequence/0eeb850d-1955-43af-bfe6-d23fc06e89d0,"Sequence is a funded startup (backed by a16z and Salesforce Ventures) building a billing and revenue stack for B2B finance teams. The Revenue Associate (Founding SDR/BDR) will help build the pipeline generation motion, working with the founding revenue team and COO to book meetings, scale outbound processes, and develop the brand while receiving mentorship, compensation, and progression opportunities.","['Book meetings with target customers via email, LinkedIn, social and other outreach channels', 'Build pipeline and scale outbound processes alongside the Founding Revenue Team and COO', 'Execute marketing initiatives and create ongoing content across social media to develop the brand', 'Represent Sequence at industry events and conferences across the US', 'Identify and test creative, non-obvious ways to reach finance and RevOps leaders', 'Coordinate travel and relationship-building activities as needed']","['Motivated to join a fast-growing, early-stage company as the first BDR/SDR', 'Hungry, proactive, and comfortable working in a scrappy, high-velocity environment', 'Exceptional written and verbal communication skills', '‘Whatever it takes’ mindset with a bias toward action and continuous improvement', 'Ability to succinctly articulate value propositions to target customers', 'Creative approach to outreach and engagement; willing to iterate and test messaging', 'Willingness to learn deeply about customers and provide feedback on messaging and strategy']",8,,Figma for video production.,https://sequence.film/,9.0,,"Strong BD/GTM fit—early-stage outbound, content, and relationship work align with VC/ops and outreach experience; limited direct SDR quota experience.",
Ravio,Product Operations,London,"Oct 14, 2025",https://jobs.ashbyhq.com/ravio/1781f546-a064-47d1-bed9-835a6a4c2cb6,"Ravio is a fast-growing compensation data SaaS startup. The Data Operations role is a high-impact, cross-functional position that bridges technical and commercial teams to build and optimise scalable processes, run special operations initiatives, deliver projects end-to-end, analyse data, and design internal tools to improve systems and workflows.","['Design, build and optimise processes from the ground up to enable scalable growth', 'Own cross-functional projects from ideation to delivery with Data, Integrations and Product teams', 'Manage stakeholders across technical and commercial domains and translate needs into actionable plans', ""Run ad hoc 'special ops' initiatives with fast-turnaround, creative solutions"", 'Analyse and interpret data to identify insights, trends and improvement opportunities', 'Design internal tools and workflows to increase team efficiency', 'Deeply understand and troubleshoot existing systems and implement scalable improvements']","['3+ years relevant experience (consulting, operations, product or similar)', 'Strong analytical, organisational and problem-solving skills', 'Proven experience managing cross-functional projects or technical initiatives', 'Comfortable with spreadsheets and able to use or learn SQL', 'Tech-savvy with a numbers/systems mindset (STEM background preferred)', 'Excellent communication and stakeholder management abilities', 'Experience designing or improving internal systems and processes', 'Adaptable, self-starter, curious and able to work in a fast-changing startup environment', 'Background in SaaS or technology environments preferred']",8,3.0,Bring confidence to compensation.,https://ravio.com/,8.0,,"Strong match — solid analytics, process-building, cross-functional and product-adjacent experience plus STEM/data skills; minor downside is limited 3+ years full-time experience for the listed requirement.",
