Company,Description,URL,title,location,date_posted,link,fit,,fit reason,role description,role responsibilities,role reqs,role years experience,final fit,yrs exp req
Spellbook,The AI copilot for transactional lawyers.,https://ca.linkedin.com/company/spellbookai,Outbound Business Development Representative,Toronto,"Oct 2, 2025",https://jobs.ashbyhq.com/spellbook.legal/c60fef1a-c52d-47eb-b87f-18622fcba267,7,,"Good GTM/BD alignment and startup/outreach experience (sourcing deals), but lacks explicit SDR/BDR quota, cold‑calling track record, and CRM/sales metrics.","Outbound Business Development Representative at Spellbook, an AI legal-tech company. The role focuses on generating new mid-market business opportunities in greenfield accounts through outbound prospecting, collaborating with the BDR/SDR team and leadership to build and scale a dedicated outbound motion in a fast-growing, remote-first startup.","['Prospect, identify, engage and qualify new business opportunities via cold calls, emails, social and other channels', 'Maintain high daily activity levels (cold calls, emails, social touches) to drive pipeline', ""Develop strong product knowledge and clearly communicate Spellbook's value proposition to prospects"", 'Set qualified meetings and appointments for mid-market and enterprise sales teams', 'Track activities and maintain data hygiene in the CRM (e.g., HubSpot/Salesforce)', 'Participate in workshops (role-plays, call reviews, copy creation) to continuously upskill', 'Report on campaign performance in a data-driven manner and provide qualitative feedback', 'Contribute to development of talk tracks, email sequences and outbound strategies', 'Collaborate with SDR/BDR manager and leadership to refine processes, expand reach and improve conversion', 'Own an account list/territory and use intent signals and trends to time outreach']","['1+ years experience as an SDR, BDR, or similar sales role', 'Demonstrated success meeting or exceeding quotas', 'Excellent communication and interpersonal skills', 'Familiarity with CRM software (e.g., HubSpot or Salesforce) and sales engagement tools (e.g., Outreach, SalesLoft)', 'Ability to thrive in a fast-paced, dynamic, startup-like environment', 'Self-motivated with an understanding of activity inputs required to achieve success', 'Nice to have: experience building new sales motions or working in a startup, SaaS/technology sales experience, proven sales strategy development, strong organizational skills']",,6,1
Spellbook,The AI copilot for transactional lawyers.,https://ca.linkedin.com/company/spellbookai,Creative Producers,Remote - Canada,"Sep 10, 2025",https://jobs.ashbyhq.com/spellbook.legal/1ef79624-d62b-45df-a9f6-077f4c968cf4,6,,"Strong analytics, A/B testing, and Figma experience aligned with growth goals, but lacks 3–5 years of performance creative/video production and proven ad launch/iteration track record.","Creative Producer at Spellbook, an AI company for commercial lawyers. The role focuses on high-volume, performance-driven ad creative production—combining storytelling, design/video creation, ad launches, and data-driven iteration in a fast-paced, remote-friendly environment.","['Produce ads at scale: write copy, design images/videos, and launch into ad platforms (Meta, Google, LinkedIn, TikTok) while monitoring performance.', 'Own results end-to-end: be accountable for ad performance and iterate quickly based on metrics.', 'Work collaboratively with other Creative Producers and cross-functional teams in a high-energy, transparent performance environment.', 'Test and iterate frequently (target ~100+ creatives/month), optimizing for CTR, conversions, and ROI.', 'Move quickly with full ownership to avoid handoffs between copy/design and speed up output.']","['3–5+ years in creative production roles, ideally tied to performance marketing and high-volume ad creation.', 'Hands-on experience creating static, video, and digital-first conversion creative.', 'Proficiency with creative tools (e.g., Figma, Photoshop, Premiere, After Effects or similar).', 'Proven track record launching ads, tracking performance, and iterating based on data.', 'Strong understanding of creative production pipelines and project management tools.', 'Experience working cross-functionally with design, marketing, and product teams.']",,4,3
Spellbook,The AI copilot for transactional lawyers.,https://ca.linkedin.com/company/spellbookai,"Account Executive, Mid-Market/Enterprise",Remote - Canada,"Aug 29, 2025",https://jobs.ashbyhq.com/spellbook.legal/2f33aae2-02de-4141-83d5-7499691effba,8,,Seniority,"Spellbook, an AI suite for commercial lawyers, is hiring a Mid-Market/Enterprise Account Executive to drive new business with mid-market and enterprise clients by managing complex sales cycles, building executive relationships, and positioning Spellbook's AI-powered solutions to expand enterprise revenue.","['Manage multi-stakeholder deals from initial engagement to close, navigating long enterprise sales cycles', 'Identify and target key mid-market and enterprise accounts using inbound leads and proactive outbound strategies', ""Create and deliver customized presentations, demos, and proposals that articulate Spellbook's value for each prospect"", 'Cultivate and maintain relationships with senior decision-makers and influencers to drive strategic initiatives and close deals', 'Collaborate with Product, Customer Success, and Marketing to incorporate customer feedback and ensure ongoing client value', 'Maintain accurate CRM records of client interactions, sales activities, and pipeline status for forecasting', 'Monitor market trends, competitor activity, and industry developments to position Spellbook as a thought leader', 'Perform other responsibilities as required']","['5+ years of quota-carrying sales experience, ideally in SaaS or B2B environments', 'Proven success in mid-market and/or enterprise software sales with a history of meeting or exceeding quotas', 'Strategic, consultative selling approach with ability to align solutions to client business objectives', 'Strong verbal and written communication skills and ability to present confidently to C-level executives', 'Highly motivated, goal-oriented, and able to thrive in a fast-paced, high-growth environment', 'Comfortable working in cross-functional teams and collaborating on customer engagement', 'Nice-to-have: understanding of the legal industry and ability to speak the language of legal professionals', 'Nice-to-have: background in a startup or scaling tech company', 'Nice-to-have: established relationships with decision-makers in legal, financial services, or enterprise sectors', 'Nice-to-have: interest in Large Language Models and basic AI concepts and experience using AI tools']",,0,5
Spellbook,The AI copilot for transactional lawyers.,https://ca.linkedin.com/company/spellbookai,"Business Development Representative, SMB Inbound",Remote - Canada,"Jul 24, 2025",https://jobs.ashbyhq.com/spellbook.legal/28257a99-3141-43f3-ac6f-8a225e45fadd,7,,Good startup/GTM fit with outreach and stakeholder experience; limited explicit CRM/closed-sales quota background.,"Spellbook, an AI suite for commercial lawyers used by 3,000+ law firms and in-house teams, is hiring a Business Development Representative (SMB Inbound). The BDR will be the first point of contact for prospective clients (mainly law firms and businesses), driving new business by qualifying inbound leads, conducting outreach, and handing off opportunities to the sales team in a fast-paced, remote startup environment.","['Engage with prospects to understand their business challenges and position Spellbook solutions', 'Qualify inbound leads and schedule meetings between potential clients and the sales team', 'Conduct outreach (cold calls, emails, other channels) to generate new opportunities and re-engage past prospects', 'Maintain accurate interaction and progress records in CRM (HubSpot)', 'Collaborate with Sales and Marketing to refine outreach strategy', 'Report weekly, monthly, and quarterly progress to sales leadership']","['Comfortable working in a fast-paced startup environment and balancing independence with collaboration', 'Resourceful and able to turn ambiguity into actionable steps', 'Self-driven, able to work without micromanagement and adapt methods based on results', 'Experience using CRM software (e.g., HubSpot, Salesforce)', 'Exceptional verbal and written communication skills', 'High attention to detail and strong organizational skills', 'Ability to thrive in a distributed/remote team']",,7,
Spellbook,The AI copilot for transactional lawyers.,https://ca.linkedin.com/company/spellbookai,Software Engineer,Remote - Canada,"Feb 14, 2025",https://jobs.ashbyhq.com/spellbook.legal/381788d0-507c-4232-b9ca-8c5b39070276,5,,Seniority,"Software Engineer at Spellbook, an AI-driven platform for commercial lawyers (used by 3,000+ firms). The role works on a distributed team to design, build, and maintain LLM-powered features and full-stack application components using technologies like React, Node, TypeScript, Mongo, Docker, and AWS/CDK.","['Design, architect, and implement new features in the Spellbook application', 'Integrate and improve functionality using LLMs (OpenAI, Anthropic, etc.) to provide customer-facing review suggestions and automation', 'Collaborate with product management to improve the React front-end and overall customer experience', 'Develop and enhance backend APIs (Express, tRPC) and improve performance, reliability, and bug fixes', 'Build and maintain application infrastructure on AWS using the Cloud Development Kit (CDK)', 'Conduct code reviews and provide constructive feedback to teammates', 'Work as part of a distributed, fast-paced team to identify workflow improvements for lawyers', 'Own features from vague concept through beta/demo to production deployment']","['5+ years of software development experience', 'Exceptional communication skills and ability to advocate ideas to diverse audiences', 'Proven ability to take product features from abstract idea to production-ready releases', 'Self-starter and problem-solver motivated by continuous improvement', 'Team player who helps maintain and improve team outcomes and responds to incidents', 'Strong grasp of software development and computer engineering fundamentals', 'Ability to decompose complex or vague customer requirements into clear, achievable plans', 'Nice to have: TypeScript experience', 'Nice to have: Familiarity with JavaScript build tooling (Vite, esbuild, swc)', 'Nice to have: Experience in small startup environments', 'Nice to have: Experience designing/building AWS infrastructure with CDK', 'Nice to have: Experience driving product features from concept to production', 'Nice to have: Experience working with LLMs, prompt improvement, and agent orchestration']",,0,5
Lightfield,A new kind of CRM.,https://www.thehomebase.ai/companies/lightfield,AI Product Engineer,San Francisco,"Sep 18, 2025",https://jobs.ashbyhq.com/Lightfield/b32dc57b-ffa0-4bb7-99c8-f469c3876002,6,,"Good ML/analytics and product orientation, but weak on required full‑stack (TypeScript/React/Node/GraphQL) and lacks demonstrated LLM/product‑engineering experience.","AI Product Engineer at Lightfield, a next-generation CRM using LLMs to capture and structure customer interactions; role focuses on building LLM-powered product experiences, driving projects from inception to impact, and shaping AI product and technical direction.","['Collaborate with product leaders to identify customer problems, scope requirements, and implement LLM-powered solutions', 'Apply LLMs as reasoning engines to build domain-specific AI assistants', 'Create and refine prompts using techniques like few-shot learning and chain-of-thought', 'Develop and optimize end-to-end RAG pipelines and agent architectures using public and proprietary data', 'Improve AI agent quality (relevance, fidelity, latency) through empirical evaluation and iteration', 'Build systems and tools for high-velocity experimentation (e.g., LLM-powered automated evaluation) and customized product experiences', 'Stay current with AI research and incorporate state-of-the-art techniques', 'Shape technical direction and best practices for AI application development', 'Recruit, mentor, and help grow the engineering team']","['Ability to ramp quickly on tech stack including TypeScript, React, Next.js, Node.js, Apollo GraphQL, and Aurora PostgreSQL', 'Experience with LLMs via professional work or personal experimentation', 'Degree in Computer Science or related field with strong software engineering foundation', 'Familiarity with AI/ML concepts such as training and evaluation techniques', 'Passion for LLMs and LLMOps, including open-source tools (e.g., LangChain)', 'Ability to drive projects independently through ambiguous problems', 'Comfort balancing long-term vision with frequent delivery of user value', 'Clear communication of reasoning and decisions to technical and nontechnical teammates', 'Motivation to build customer-facing software that customers depend on']",,4,
Neko,A better health check.,https://www.nekohealth.com/se/en,Workforce Planning Coordinator,London,"Oct 21, 2025",https://jobs.lever.co/nekohealth/69a3b914-6e93-4f10-af22-8f6e9475d6bc,8,,"Strong analytics/forecasting and stakeholder experience fit ops focus, but lacks direct HR/workforce planning experience and role is healthcare (less preferred).","Neko Health is hiring a Workforce Planning Coordinator to support staffing, scheduling, and workforce analytics. The role focuses on coordinating workforce planning activities, producing forecasts and reports, and working with HR and operations to ensure adequate staffing for business needs.","['Develop and maintain staffing forecasts and headcount plans', 'Create and manage schedules to meet operational needs', 'Analyze workforce metrics and produce regular reports and dashboards', 'Collaborate with HR, operations, and business leaders on resourcing decisions', 'Support recruitment planning, onboarding coordination, and workforce optimization initiatives', 'Maintain workforce planning tools and documentation to ensure data accuracy']","['Experience in workforce planning, resource coordination, HR operations, or related field', 'Strong analytical skills and proficiency with Excel and/or workforce planning tools', 'Excellent communication and stakeholder management abilities', 'Attention to detail and ability to manage multiple priorities', 'Familiarity with forecasting, scheduling, and reporting processes', ""Bachelor's degree in business, HR, analytics, or equivalent experience (preferred)""]",,6,
Neko,A better health check.,https://www.nekohealth.com/se/en,Executive Recruitment Coordinator,London,"Oct 10, 2025",https://jobs.lever.co/nekohealth/44c38452-9a5e-492a-91ff-8867172c1f7f,6,,Mostly HR/admin recruiting at a healthcare company — limited fit with your strategy/operations/tech growth goals and preference to avoid healthcare.,Executive Recruitment Coordinator role at Neko Health. The provided job posting text is truncated and contains mostly formatting/CSS data; detailed role description is not available in the content provided.,[],[],,3,
Lightship,First American all-electric RV.,https://lightshiprv.com/,General Submission,"Broomfield, CO","Apr 5, 2023",https://jobs.lever.co/lightship/b791ecbd-b163-4399-8d35-611239b70944,8,,General submission matches candidate’s preference for various business/tech roles; no job specifics lowers certainty.,"The posting titled ""Lightship - General Submission"" contains only website/CSS markup and no actual job description, company details, or role information.",[],[],,8,
1X,Humanoid robots for the home.,https://www.businesswire.com/news/home/20251027434628/en/1X-Launches-NEO-The-Robot-Redefining-Life-at-Home,Various Positions,"Palo Alto, United States",,https://1x.recruitee.com/,9,,Listed as 'Various Positions' — aligns strongly with candidate's broad strategy/ops/tech goals; lack of details lowers certainty.,"The provided posting contains only styling, markup, and truncated CSS/HTML fragments; no information about the company, role, or job details is present.",[],[],,9,
