Company,Description,URL,title,location,date_posted,link,fit,Unnamed: 8,fit reason,role description,role responsibilities,role reqs,role years experience,final fit,yrs exp req
Wonder Studios,AI-native film studio.,https://www.linkedin.com/company/wearewonderstudios,Head of Growth (US),West Coast (Hybrid) or New York,"Nov 20, 2025",https://job-boards.eu.greenhouse.io/wonderstudios/jobs/4713609101,7.0,,"Solid analytics/ML, experimentation and cross‑functional ops experience, but lacks demonstrated senior consumer growth, paid media/YouTube scaling and leadership track record required for a Head of Growth.","Wonder Studios is hiring a Head of Growth (US) to own and scale user acquisition for its Wonder App. The role is a hands-on senior growth/operator position reporting to the CEO, focused on paid acquisition, growth loops, analytics and leveraging AI/ML insight to grow a creator-focused filmmaking platform. Location: West Coast (hybrid) or New York. Compensation: $150k.","['Own end-to-end user acquisition funnel and set aggressive KPIs for acquisition, activation and retention', 'Design and execute paid media strategy across channels (SEO, Meta, Google) with a particular focus on growing YouTube via paid and organic tactics', 'Implement analytics, attribution and experimentation frameworks (A/B testing) to drive continuous optimization', 'Translate performance data into actionable insights that inform product and marketing decisions', 'Apply AI/ML domain knowledge to identify unique growth opportunities and position the platform', 'Partner closely with Product, Engineering and Creative teams to embed growth loops into the user experience and maximize launch impact', 'Start as a hands-on individual contributor with a trajectory to build and lead the Growth function']","['Substantial experience and demonstrable success in a senior Growth or Performance role, ideally scaling a consumer app or platform', 'Strong analytical mindset; experience with performance metrics, attribution, experimentation and reporting', 'Proven experience managing performance marketing channels and optimizing paid media efficiency', 'Familiarity with YouTube growth strategies and hybrid paid/organic approaches', 'Genuine interest in and understanding of the AI/ML landscape and its application to creative technology', 'Cross-functional collaboration skills and ability to work closely with Product, Engineering and Creative teams', 'Leadership capability to evolve from hands-on contributor to build and lead a growth team']",,4,
Wonder Studios,AI-native film studio.,https://www.linkedin.com/company/wearewonderstudios,Head of Growth,London (Hybrid),"Nov 18, 2025",https://job-boards.eu.greenhouse.io/wonderstudios/jobs/4706154101,6.0,,"Strong analytics/experimentation and AI background and growth interest, but lacks hands‑on paid acquisition (SEO/Meta/Google/YouTube) and senior growth leadership experience required.","Wonder Studios is a next-generation film studio combining cinematic craft with AI. They are hiring a Head of Growth (London, hybrid) to own and scale user acquisition for the Wonder Studios App — building paid acquisition strategy and growth loops (with a focus on YouTube), working cross-functionally, starting as a hands-on contributor and growing into a leader reporting to the CEO.","['Own end-to-end user acquisition funnel and define KPIs for acquisition, activation, and retention', 'Build and execute paid media/performance marketing (SEO, Meta, Google) and elevate YouTube through paid + organic strategies', 'Implement analytics and experimentation (A/B testing, attribution) and translate data into actionable insights', 'Apply AI/ML domain knowledge to identify and capitalise on growth opportunities', 'Partner with Product, Engineering, and Creative teams to embed growth loops and maximise launch campaign impact', 'Start as a hands-on operator with a trajectory to build and lead the Growth function']","['Substantial experience and proven success in a senior Growth or performance marketing role, ideally scaling a consumer app/platform', 'Exceptional analytical skills; experience with metrics, attribution, reporting, experimentation and optimisation', 'Hands-on acquisition expertise across channels (SEO, Meta, Google) and experience growing YouTube presence', 'Demonstrated understanding or strong interest in the AI/ML space and its impact on creative technology', 'Leadership capability to build, mentor and operate as the central hub for a high-performing growth team']",,3,
Wonder Studios,AI-native film studio.,https://www.linkedin.com/company/wearewonderstudios,GTM Associate,Los Angeles (Hybrid),"Nov 18, 2025",https://job-boards.eu.greenhouse.io/wonderstudios/jobs/4712586101,9.0,,"Strong GTM/BD, ops and AI/analytics background with transferable client coordination (sourcing deals, launch ops), but lacks 3–5 years of direct agency/advertising/account-management experience and explicit ad RFP/CRM history.","Wonder Studios, an AI-native film and content studio in Los Angeles, is hiring a GTM Associate to grow and manage agency and brand partnerships across the US. This hybrid sales-and-execution role spans inbound/outbound business development, proposal and RFP ownership, client management, and GTM operations, working cross-functionally to deliver advertising and brand-led campaigns.","['Manage inbound advertising and brand-led briefs, assess fit, gather requirements, and coordinate internal responses', 'Support outbound business development with agencies, brands, and creative partners to grow US presence', 'Build and define the advertising GTM playbook, tools, and supporting materials', 'Serve as day-to-day client contact to ensure clear communication and strong delivery from brief to final delivery', 'Assemble proposals, pitch decks, timelines, and creative/production assets and lead RFP coordination', 'Maintain CRM and pipeline tracking and support internal alignment across Creative, Production, and GTM', 'Develop scalable systems, templates, and workflows for GTM operations', 'Represent Wonder at industry events, agency visits, and creative gatherings']","['3–5 years’ experience in advertising, client management, partnerships, production, or account management within a creative agency, production company, or media-tech environment', 'Client-focused with high agency and strong communication skills', 'Experience assembling proposals, pitch decks, and responding to RFPs', 'Ability to coordinate cross-functional teams and manage timelines', 'Experience maintaining CRM and pipeline processes', 'Comfortable with outbound business development and relationship building in agency/brand ecosystems', 'Interest in or experience with AI-enabled production workflows and willingness to help iterate processes']",,6,3.0
Wonder Studios,AI-native film studio.,https://www.linkedin.com/company/wearewonderstudios,Creative Technologist,USA/Europe,"Nov 10, 2025",https://job-boards.eu.greenhouse.io/wonderstudios/jobs/4708690101,8.0,,Strong ML/analytics background but lacks creative production/art-direction portfolio and required generative-AI visual tooling experience.,"Creative Technologist role at Wonder, an AI-native creative studio (USA/Europe). Work with the Creative Director and Head of Production on concept development, visual storytelling and production across music videos, advertising, long-form and experimental projects, using generative AI and traditional tools to drive creative ideas into deliverables.","['Execute creative development for agency-facing work, original IP, branded content and brand partnerships across film, episodic and short-form media', 'Conceptualize and produce storyboards, pitch decks, animatics and concept trailers using AI and traditional creative tools', 'Experiment with and integrate emerging AI technologies and workflows for previsualization, production and post-production', 'Support and scale AI tools across the creative pipeline from ideation to delivery to increase speed and visual possibilities', 'Collaborate with Creative Director, Head of Production and cross-functional creative teams, and support freelance and in-house contributors', 'Translate client briefs into compelling visual concepts and narratives leveraging AI', 'Contribute to pitches and take lead on executing creative deliverables while cultivating a creative culture', 'Stay ahead of content and AI trends and help structure efficient, scalable creative workflows without sacrificing experimentation']","['2-4 years experience in creative roles within agency, studio, content or tech environments', 'Portfolio demonstrating strong conceptual thinking, visuals, storytelling and ideally integrated AI work', 'Strong art direction skills and eye for storytelling across visual and motion formats', 'Experience with generative AI tools (e.g., Midjourney, Runway, Kling, Flux, Comfy AI or similar)', 'Experience working on multi-platform campaigns, digital content and brand systems', 'Ability to execute projects in fast, iterative environments and balance speed with creative standards', 'Confident presenting work to clients and internal stakeholders', 'Proficiency with Canva, Notion and Google Slides']",,2,2.0
Wonder Studios,AI-native film studio.,https://www.linkedin.com/company/wearewonderstudios,Creative Technologist,London (Hybrid),"Sep 2, 2025",https://job-boards.eu.greenhouse.io/wonderstudios/jobs/4662190101,5.0,,"Strong technical/AI and ops background but lacks creative-studio experience, art-direction/storytelling portfolio, motion/generative-AI production credentials required for this role.","Creative Technologist role at Wonder, an AI-native creative studio in London (hybrid). Hands-on position working with the Creative Director and Head of Production to develop and execute AI-first creative content across music videos, advertising, long-form and experimental projects, helping shape creative workflows and studio output.","['Execute creative development for agency-facing work, original IP, branded content and brand partnerships across film, episodic and short-form media', 'Conceptualise and produce storyboards, pitch decks, animatics and concept trailers using AI and traditional creative tools', 'Experiment with and integrate emerging AI technologies across production, previsualisation and post-production workflows', 'Collaborate closely with the Creative Director, Head of Production and a network of freelance and in-house creatives', 'Translate client briefs into compelling visual concepts and narratives leveraging AI to increase speed and expand possibilities', ""Stay current on content and AI trends and contribute fresh insights to the studio's approach"", 'Help structure and scale creative workflows to maintain efficiency while enabling experimentation']","['2-4 years of experience in creative roles within agency, studio, content or tech environments', 'Portfolio demonstrating sharp conceptual thinking, strong visuals and a clear point of view, ideally with integrated AI work', 'Strong art direction skills and storytelling across visual and motion formats', 'Experience with generative AI tools (e.g., Midjourney, Runway, Kling, Flux, Comfy AI or similar) in storytelling and production', 'Experience on multi-platform campaigns, digital content and brand systems', 'Ability to execute projects in fast, iterative environments and balance speed with creative standards', 'Confident presenting work and ideas to clients and internal stakeholders', 'Proficiency with Canva, Notion and Google Slides']",,3,2.0
Runlayer,Safer way to connect MCPs.,https://www.runlayer.com/,Founding Account Executive,SF / NYC,"Sep 12, 2025",https://jobs.ashbyhq.com/anysource/63e79480-6472-4785-9138-19ea750c2ebf,8.0,,Seniority,"Founding Account Executive at Runlayer, an early-stage, well-funded company building an AI enablement layer that lets enterprises safely connect agents to systems via the Model Context Protocol (MCP). You will be the first sales hire working closely with founders (ex-Zapier AI leadership) to source, qualify, and close early enterprise deals and establish the outbound motion and go-to-market foundation.","['Source and qualify meetings with senior leaders at Fortune 500 and high-growth enterprises', 'Build pipeline through outbound prospecting, events, and other creative outreach', 'Manage the full sales cycle from first touch to signed contract, collaborating with founders and engineers', 'Craft, test, and refine the company pitch and messaging based on prospect feedback', 'Document and systematize outreach strategies to create a repeatable go-to-market motion', 'Represent Runlayer at events, conferences, and customer meetings (NYC, SF, and beyond)']","['Hunter mentality with strong outbound prospecting skills', '4+ years of experience in outbound sales, BDR/SDR, or AE roles at high-growth SaaS or infrastructure companies', ""Proven track record of quota overachievement (e.g., President's Club or equivalent)"", 'Excellent written and verbal communication; able to craft crisp emails and deliver compelling pitches', 'Hustle and persistence (comfortable with multiple follow-ups and proactive outreach)', 'Learning mindset and willingness to dive deep into enterprise AI, technical, and business conversations', 'Bonus: experience selling developer tools, infrastructure, or security products; existing enterprise IT/security/AI network; track record closing six-figure deals; expert use of AI tools for prospecting']",,0,4.0
World Labs,3D worlds without limits.,https://www.worldlabs.ai/,Research Engineer – Model Optimization,San Francisco Office (HQ),"Jun 11, 2025",https://jobs.ashbyhq.com/worldlabs/f5751622-ac7a-42c1-b97a-a2e063da6a88,5.0,,Requires 3+ years of production PyTorch/CUDA model-optimization and multi-GPU serving — deep systems/ML-engineering skills the candidate lacks and the role mismatches his business/strategy-focused goals.,"World Labs is hiring a Research Engineer (Model Optimization) to convert PyTorch research models into highly optimized, low-latency production inference systems, focusing on GPU performance and scaling for Large World Models. The role is full-time and based in San Francisco.","['Optimize neural network models for inference (quantization, pruning, architectural changes) while maintaining accuracy', 'Profile and benchmark model performance to identify and resolve computational bottlenecks', 'Implement optimizations using tools like torch.compile, custom CUDA kernels, and specialized inference frameworks', 'Deploy multi-GPU inference solutions with efficient model parallelism and serving architectures', 'Collaborate with research teams to integrate optimization techniques into model development workflows']","['3+ years optimizing deep learning models for production inference', 'Expert-level PyTorch and CUDA programming experience', 'Hands-on experience with model quantization (INT8/FP16) and inference frameworks (TensorRT, ONNX Runtime)', 'Proficiency with GPU profiling tools and performance analysis', 'Experience with multi-GPU inference and model serving at scale', 'Strong understanding of transformer architectures and modern ML model optimization techniques', 'Preferred: custom CUDA kernel development experience', 'Preferred: experience with Triton, vLLM, or similar high-performance serving frameworks', 'Preferred: background working across both research and production ML environments']",,1,3.0
Langdock,The AI platform for your company.,https://langdock.com/,Solutions Engineer,Berlin,"Nov 11, 2025",https://jobs.ashbyhq.com/langdock/e27922a1-5484-410e-ada9-1d4f744b4ad6,7.0,,"Some relevant AI/analytics and customer-facing experience, but missing required German, clear production/API/integration engineering experience, and Berlin onsite fit—major mismatches.","Langdock is hiring a full-time, onsite Solutions Engineer at its Berlin HQ. The role begins with a three-month rotational program (customer support foundations then integrations & workflow templates) that leads into a customer-facing technical position owning integrations, workflow templates and applied AI solutions to drive customer outcomes.","['Complete a 3-month rotation (weeks 1-6: customer support/product mastery; weeks 7-12: integrations, workflow templates, applied AI)', 'Own all customer-facing software work and act as the technical point of contact for customers', 'Manage, maintain and ensure reliability of integrations and APIs', 'Build, optimize and maintain workflow and assistant templates for customer use cases', 'Apply AI to solve documentation, automation and adoption challenges', 'Lead technical workshops, deep-dives and implementation sessions with customers', 'Design and architect robust, scalable solutions for high-value customer use cases', 'Represent the voice of the customer internally and influence product and technical strategy']","['Strong software development background with hands-on coding experience', 'Deep understanding of AI systems, APIs, databases, cloud applications and system integrations', 'Ability to build, debug and maintain production-level code and integrations', 'Experience designing technical solutions from customer requirements', 'Applied AI expertise for documentation, automation and workflow optimization', 'Customer-facing or implementation experience is a plus', 'Experience with integrations, APIs or workflow automation preferred', 'Strong written and verbal communication in English and German (German required)', 'Comfort working autonomously in fast-paced, high-growth startup environments', 'Team player with customer empathy and a consistent record of achievement']",,3,
Langdock,The AI platform for your company.,https://langdock.com/,AI Associate,Berlin,"Apr 7, 2025",https://jobs.ashbyhq.com/langdock/f580785e-eebd-43d4-9f45-709a08d9d6c5,7.0,,"Good match on technical + customer-facing/GTM goals, but strict C1 German requirement and onsite Berlin/full‑time while candidate is in a US MS program are major blockers.","Full-time onsite AI Associate at Langdock (Berlin) — a three-month rotational program to train technical, customer-facing talent on Langdock’s enterprise AI platform (chat, assistants, search, API, workflows) with a pathway into commercial roles (Sales, Account Management/Customer Success, Solutions Engineering).","['Learn and master Langdock’s AI platform through daily product interaction and real customer use cases', 'Build assistants and workflows and implement customer use cases', 'Shadow and run customer workshops, 1:1 calls, and onboarding sessions', 'Support implementation of integrations and high-value customer solutions', 'Shadow and support sales and partnership conversations; learn qualification, pitching, and closing', 'Rotate across Customer Success, Solutions Engineering, and Sales during the three-month program and progress into a specialized commercial role']","['C1 or higher German language proficiency', 'Strong written and verbal communication in English and German', 'Technical fluency and solid technical foundation (databases, APIs, cloud applications)', 'Ability to explain technical concepts clearly and ideate customer AI solutions', 'Customer empathy and experience anticipating customer needs and pain points', 'Comfort working in fast-paced, high-growth startup environments; team player', 'Willingness and ability to learn technical concepts quickly; customer-facing experience is a plus']",,3,
Langdock,The AI platform for your company.,https://langdock.com/,Product Engineer (Full-stack),Berlin,"Dec 12, 2024",https://jobs.ashbyhq.com/langdock/277edeff-426e-40ca-9e67-5516890a0bff,6.0,,"Poor fit — lacks required full‑stack (Next.js/TypeScript/Node.js/Postgres) production experience, no Berlin on‑site indication, and prefers business/strategy vs deep engineering.","Langdock is hiring a full-time, on-site Product Engineer (Full-stack) in Berlin to build end-to-end AI-powered product features. The role involves working across frontend, backend, and database layers, collaborating with product/design and customers, and helping drive enterprise adoption of the company's AI platform.","['Build end-to-end product features across frontend (Next.js), backend (Node.js), and database layers', 'Collaborate with the CPO, design team, and customers to gather insights, feedback, and iterate on features', 'Implement user interfaces including full screens, reusable components, and user flows', 'Maintain and optimize the codebase for performance and user experience', 'Develop AI-powered features that support enterprise adoption', 'Participate in rotating ""Support Engineer"" duties to handle customer issues and support requests']","['2–3+ years proven experience in a full-stack engineering role building production applications', 'Strong frontend skills with JavaScript/TypeScript, React (preferably Next.js), and Tailwind CSS', 'Solid backend experience with Node.js and API design', 'Experience working with databases (particularly PostgreSQL) and data modeling', 'API integration experience with REST and modern patterns like tRPC', 'Fluent English for technical collaboration and on-site, full-time availability in Berlin', 'Nice-to-have: hands-on experience with language models/AI integrations (OpenAI, Anthropic, Google), Redis, vector databases/semantic search, enterprise security/compliance experience, German language skills, and strong UX/design system sensibility']",,2,2.0
