Company,Description,URL,title,location,date_posted,link,fit,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Controller,New York City,"Nov 19, 2025",https://jobs.ashbyhq.com/Profound/e4755671-ae9f-4b62-8b1f-805456e692e9,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,GTM Data Engineer,New York City,"Nov 17, 2025",https://jobs.ashbyhq.com/Profound/f0899031-8cd6-4ea6-bade-b21a082871ca,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Deal Operations,New York City,"Nov 17, 2025",https://jobs.ashbyhq.com/Profound/a236e68f-2d1d-4d11-bfe2-9fa2ee1d12d8,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,SWE - New Grad,"New York City, San Francisco, and Buenos Aires","Nov 11, 2025",https://jobs.ashbyhq.com/Profound/1d4a905b-7b91-4763-88dd-7abc7562fbcd,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Sales Proposal Specialist,New York City,"Nov 11, 2025",https://jobs.ashbyhq.com/Profound/e76123ae-d80b-41c3-93d1-8ed1751612e5,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Strategic Finance Associate,New York City,"Nov 11, 2025",https://jobs.ashbyhq.com/Profound/3eae6685-45b1-403d-83d5-26ae9f8fcb65,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Content Marketing Manager,New York City,"Nov 7, 2025",https://jobs.ashbyhq.com/Profound/aa6ff1c5-b785-444a-8397-1745b0cafc69,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,GTM Operations & Analytics,New York City,"Nov 4, 2025",https://jobs.ashbyhq.com/Profound/3dac5de6-fa35-451f-885a-d564c28be42c,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Solutions Consultant - London,London,"Nov 3, 2025",https://jobs.ashbyhq.com/Profound/1ec33f53-dc01-451a-9de4-31e05adb84a0,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Solutions Consultant,New York City,"Nov 3, 2025",https://jobs.ashbyhq.com/Profound/c43192f0-1d55-4d18-9acf-73726bfcc522,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,AEO Specialist,New York City,"Oct 29, 2025",https://jobs.ashbyhq.com/Profound/f1551fdc-67a6-449c-9c3b-5180ddbf9b90,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,SWE Infrastructure,"New York City, San Francisco, and Buenos Aires","Oct 28, 2025",https://jobs.ashbyhq.com/Profound/ef3e3a00-c4cb-4332-811d-d3d024c6660d,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Forward Deployed Engineer,"New York City, San Francisco, and Buenos Aires","Oct 28, 2025",https://jobs.ashbyhq.com/Profound/b076c997-0ba3-4d3c-9dc9-ad0b3ed49b05,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Customer Education & Community Lead,New York City,"Oct 28, 2025",https://jobs.ashbyhq.com/Profound/79216fc6-b270-46ca-b2b5-133b73028f6d,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Events Marketing Manager,New York City,"Oct 28, 2025",https://jobs.ashbyhq.com/Profound/6af70a69-fb5f-4fb4-bc6a-b51658590047,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Marketing Operations Manager,New York City,"Oct 28, 2025",https://jobs.ashbyhq.com/Profound/4151fd7b-def9-4050-9151-f62e3bbb1a1e,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Account Manager - NY,New York City,"Oct 24, 2025",https://jobs.ashbyhq.com/Profound/dfb53d1d-0894-41cf-aa10-8f434826700e,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Engagement Manager - London,London,"Oct 24, 2025",https://jobs.ashbyhq.com/Profound/0e28db43-aefe-4724-b5ec-5298bdf7e950,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Technical Operations Engineer,New York City,"Oct 23, 2025",https://jobs.ashbyhq.com/Profound/8dc1abbf-3090-41ad-9670-5fe5dbd0cc51,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,People Ops Associate,New York City,"Oct 22, 2025",https://jobs.ashbyhq.com/Profound/75bbb9cb-cb15-493c-944c-eb536fbe7f81,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Operations Associate,New York City,"Oct 22, 2025",https://jobs.ashbyhq.com/Profound/2182bd69-27bd-424f-b297-fe87b2ea9f50,,
Profound,Be more visible in AI Search.,https://www.tryprofound.com/,Chief of Staff - Tech Team,New York City,"Oct 20, 2025",https://jobs.ashbyhq.com/Profound/b27b8b51-602f-4fd0-ba41-f597d140242b,,
